Admin2,Admin3,Admin4,Province,Partner,Municipality,Barangay,HH Support Beneficiaries Selected,First Installment,Second Installment,Individualls trained on Short Term Livelihood training,Number of trainings conducted on Short Term Livelihood training,Skills Dev Trainees Selected,Training Started,Training Completed,Trainees Placed,Individuals Selected for Enterprise Development,Group Selected for Enterprise Development,Individual Submitted Business Plan,Group Submitted Business Plans,Enterprise Support Completed - Individuals (cash transferred),Enterprise Support Completed - Group (cash transferred),Comm Proposals Submitted,Support Initiated,Project Turnover
PH060400000,PH060401000,PH060401001,Aklan,IFRC,Altavas,Cabangila,83,80,78,,,,,,,,,,,,,,,
PH060400000,PH060401000,PH060401002,Aklan,IFRC,Altavas,Cabugao,173,169,169,,,,,,,,,,,,,,,
PH060400000,PH060401000,PH060401003,Aklan,IFRC,Altavas,Catmon,99,94,91,,,5,5,,,,,,,,,,,
PH060400000,PH060401000,PH060401004,Aklan,IFRC,Altavas,Dalipdip,43,40,39,,,,,,,,,,,,,,,
PH060400000,PH060401000,PH060401007,Aklan,IFRC,Altavas,Lumaynay,136,136,134,,,4,4,1,1,,1,,,,,1,,
PH060400000,PH060401000,PH060401009,Aklan,IFRC,Altavas,Man-up,105,102,101,,,,,,,,,,,,,,,
PH060400000,PH060401000,PH060401010,Aklan,IFRC,Altavas,Odiong,223,217,217,,,3,3,1,1,,1,,,,,0,,
PH060400000,PH060401000,PH060401012,Aklan,IFRC,Altavas,Quinasay-an,56,39,39,,,,,,,,,,,,,,,
PH060400000,PH060401000,PH060401013,Aklan,IFRC,Altavas,Talon,86,78,77,,,,,,,,,,,,,,,
PH060400000,PH060401000,PH060401014,Aklan,IFRC,Altavas,Tibiao,65,61,61,,,1,1,,,,,,,,,,,
PH060400000,PH060402000,PH060402001,Aklan,Spanish Red Cross,Balete,Aranas,303,303,298,228,1,7,,,,,,,,,,,,
PH060400000,PH060402000,PH060402002,Aklan,Spanish Red Cross,Balete,Arcangel,178,178,162,142,1,,,,,,,,,,,,,
PH060400000,PH060402000,PH060402004,Aklan,Spanish Red Cross,Balete,Calizo,289,289,284,217,1,4,,,,,,,,,,,,
PH060400000,PH060402000,PH060402005,Aklan,Spanish Red Cross,Balete,Cortes,209,209,201,163,1,2,,,,,,,,,,,,
PH060400000,PH060402000,PH060402006,Aklan,Spanish Red Cross,Balete,Feliciano,211,211,207,180,1,3,,,,,,,,,,,,
PH060400000,PH060402000,PH060402007,Aklan,Spanish Red Cross,Balete,Fulgencio,182,182,178,153,1,2,,,,,,,,,,,,
PH060400000,PH060402000,PH060402008,Aklan,Spanish Red Cross,Balete,Guanko,82,82,78,73,1,,,,,,,,,,,,,
PH060400000,PH060402000,PH060402009,Aklan,Spanish Red Cross,Balete,Morales,230,230,210,185,1,1,,,,,,,,,,,,
PH060400000,PH060402000,PH060402010,Aklan,Spanish Red Cross,Balete,Oquendo,58,58,49,52,1,2,,,,,,,,,,,,
PH060400000,PH060402000,PH060402011,Aklan,Spanish Red Cross,Balete,Poblacion,7,7,7,,1,3,,,,,,,,,,,,
PH060400000,PH060403000,PH060403001,Aklan,IFRC,Banga,Agbanawan,61,56,56,,,5,5,,,,,,,,,,,
PH060400000,PH060403000,PH060403003,Aklan,IFRC,Banga,Badiangan,82,80,80,,,5,5,,,,,,,,,,,
PH060400000,PH060403000,PH060403005,Aklan,IFRC,Banga,Cupang,42,42,42,,,,,,,,,,,,,,,
