Admin2,Admin3,Admin4,Province,Partner,Municipality,Barangay,Shelter Repair Beneficiaries Selected,First Distribution,Second Distribution,CGI,Shelter Repair Closeout / Completed,Core Shelter Beneficiaries Selected,Relocation Beneficiaries Selected,Construction Started (Core + Relocation),Wooden Shelter (Core Shelter),Half Concrete (Core Shelter),Relocation Completed,Training- Skilled Labour
PH060400000,PH060402000,PH060402001,Aklan,Spanish Red Cross,Balete,Aranas,262,262,262,262,262,117,0,87,80,0,0,27
PH060400000,PH060402000,PH060402002,Aklan,Spanish Red Cross,Balete,Arcangel,203,206,206,206,203,83,0,58,57,0,0,25
PH060400000,PH060402000,PH060402004,Aklan,Spanish Red Cross,Balete,Calizo,272,272,270,272,270,123,0,71,63,0,0,39
PH060400000,PH060402000,PH060402005,Aklan,Spanish Red Cross,Balete,Cortes,161,163,163,163,163,93,0,93,91,0,0,37
PH060400000,PH060402000,PH060402006,Aklan,Spanish Red Cross,Balete,Feliciano,179,179,179,179,179,79,0,34,32,0,0,34
PH060400000,PH060402000,PH060402007,Aklan,Spanish Red Cross,Balete,Fulgencio,199,199,198,199,198,93,0,41,40,0,0,29
PH060400000,PH060402000,PH060402008,Aklan,Spanish Red Cross,Balete,Guanko,94,94,94,94,94,38,0,40,40,0,0,23
PH060400000,PH060402000,PH060402009,Aklan,Spanish Red Cross,Balete,Morales,222,223,223,223,221,88,0,57,57,0,0,65
PH060400000,PH060402000,PH060402010,Aklan,Spanish Red Cross,Balete,Oquendo,89,89,88,89,88,28,0,29,28,0,0,10
PH060400000,PH060402000,PH060402011,Aklan,Spanish Red Cross,Balete,Poblacion,20,20,20,20,20,6,,3,3,0,,0
PH060400000,PH060403000,PH060403001,Aklan,IFRC,Banga,Agbanawan,62,61,61,61,61,0,0,0,0,0,0,
PH060400000,PH060403000,PH060403002,Aklan,IFRC,Banga,Bacan,26,25,25,25,25,5,0,4,0,4,0,
PH060400000,PH060403000,PH060403003,Aklan,IFRC,Banga,Badiangan,96,38,35,38,35,3,0,3,0,3,0,
PH060400000,PH060403000,PH060403004,Aklan,IFRC,Banga,Cerrudo,49,48,46,48,46,2,0,2,0,2,0,0
PH060400000,PH060403000,PH060403005,Aklan,IFRC,Banga,Cupang,15,15,15,15,15,0,0,0,0,0,0,
PH060400000,PH060403000,PH060403006,Aklan,IFRC,Banga,Daguitan,31,31,31,31,31,3,0,3,0,3,0,
PH060400000,PH060403000,PH060403007,Aklan,IFRC,Banga,Daja Norte,71,70,69,70,69,0,0,0,0,0,0,0
PH060400000,PH060403000,PH060403008,Aklan,IFRC,Banga,Daja Sur,84,84,84,84,84,,,,,,,
PH060400000,PH060403000,PH060403009,Aklan,IFRC,Banga,Dingle,41,41,41,41,41,9,0,9,0,9,0,
PH060400000,PH060403000,PH060403010,Aklan,IFRC,Banga,Jumarap,44,31,31,31,31,0,0,0,0,0,0,0
PH060400000,PH060403000,PH060403011,Aklan,IFRC,Banga,Lapnag,29,29,29,29,29,0,0,0,0,0,0,
PH060400000,PH060403000,PH060403012,Aklan,IFRC,Banga,Libas,57,57,57,57,57,10,0,10,0,10,0,
PH060400000,PH060403000,PH060403014,Aklan,IFRC,Banga,Mambog,75,75,75,75,75,3,,3,0,3,,
PH060400000,PH060403000,PH060403015,Aklan,IFRC,Banga,Mangan,17,17,16,17,16,6,0,6,0,6,0,
PH060400000,PH060403000,PH060403016,Aklan,IFRC,Banga,Muguing,25,25,25,25,25,3,,3,0,3,,
PH060400000,PH060403000,PH060403017,Aklan,IFRC,Banga,Pagsanghan,17,17,17,17,17,5,0,5,0,5,0,
PH060400000,PH060403000,PH060403018,Aklan,IFRC,Banga,Palale,23,21,19,21,19,0,0,0,0,0,0,0
PH060400000,PH060403000,PH060403020,Aklan,IFRC,Banga,Polo,76,76,76,76,76,2,0,2,0,2,0,
PH060400000,PH060403000,PH060403021,Aklan,IFRC,Banga,Polocate,115,114,113,114,113,2,0,2,0,2,0,
PH060400000,PH060403000,PH060403022,Aklan,IFRC,Banga,San Isidro,12,9,9,9,9,0,0,0,0,0,0,
PH060400000,PH060403000,PH060403023,Aklan,IFRC,Banga,Sibalew,117,116,112,116,112,0,0,0,0,0,0,
PH060400000,PH060403000,PH060403024,Aklan,IFRC,Banga,Sigcay,57,51,50,53,50,0,0,0,0,0,0,
PH060400000,PH060403000,PH060403025,Aklan,IFRC,Banga,Taba-ao,31,29,29,29,29,0,0,0,0,0,0,
PH060400000,PH060403000,PH060403026,Aklan,IFRC,Banga,Tabayon,41,41,41,41,41,11,0,12,0,12,0,
PH060400000,PH060403000,PH060403027,Aklan,IFRC,Banga,Tinapuay,36,36,36,36,36,,,,,,,
PH060400000,PH060403000,PH060403028,Aklan,IFRC,Banga,Torralba,33,32,30,32,30,0,0,0,0,0,0,
PH060400000,PH060403000,PH060403029,Aklan,IFRC,Banga,Ugsod,55,55,54,55,54,0,0,0,0,0,0,
PH060400000,PH060403000,PH060403030,Aklan,IFRC,Banga,Venturanza,43,41,41,41,41,14,0,14,0,14,0,
PH060400000,PH060408000,PH060408001,Aklan,Air Asia,Lezo,Agcawilan,0,0,0,0,0,28,,28,0,28,,24
PH060400000,PH060408000,PH060408002,Aklan,Air Asia,Lezo,Bagto,0,,,,0,6,,6,0,6,,
PH060400000,PH060408000,PH060408003,Aklan,Air Asia,Lezo,Bugasongan,0,,,,0,3,,3,0,3,,
PH060400000,PH060408000,PH060408004,Aklan,Air Asia,Lezo,Carugdog,0,0,0,0,0,20,0,20,0,20,0,32
PH060400000,PH060408000,PH060408005,Aklan,Air Asia,Lezo,Cogon,0,,,,,11,,8,0,8,,40
PH060400000,PH060408000,PH060408006,Aklan,Air Asia,Lezo,Ibao,,,,,,21,,21,0,21,,24
PH060400000,PH060408000,PH060408007,Aklan,Air Asia,Lezo,Mina,0,0,0,0,0,9,,9,0,9,,0
PH060400000,PH060408000,PH060408008,Aklan,Air Asia,Lezo,Poblacion,0,0,0,0,0,12,,10,0,10,,0
PH060400000,PH060408000,PH060408010,Aklan,Air Asia,Lezo,Santa Cruz Bigaa,0,0,0,0,0,9,,9,0,9,,
PH060400000,PH060408000,PH060408011,Aklan,Air Asia,Lezo,Silakat-Nonok,0,0,0,0,0,20,,20,0,20,,24
PH060400000,PH060408000,PH060408012,Aklan,Air Asia,Lezo,Tayhawan,0,0,0,0,0,16,,16,0,16,,30
PH060400000,PH060409000,PH060409001,Aklan,Finnish Red Cross,Libacao,Agmailig,41,41,40,0,40,0,0,0,0,0,0,0
PH060400000,PH060409000,PH060409002,Aklan,Finnish Red Cross,Libacao,Alfonso XII,61,61,61,0,61,0,,0,0,,,0
PH060400000,PH060409000,PH060409003,Aklan,Finnish Red Cross,Libacao,Batobato,42,42,42,0,42,0,0,0,0,0,0,0
PH060400000,PH060409000,PH060409004,Aklan,Finnish Red Cross,Libacao,Bonza,22,22,21,0,21,0,0,0,0,0,0,0
PH060400000,PH060409000,PH060409005,Aklan,Finnish Red Cross,Libacao,Calacabian,25,25,25,,25,,,,,,,
PH060400000,PH060409000,PH060409006,Aklan,Air Asia,Libacao,Calamcan,0,0,0,0,0,6,,0,0,0,,0
PH060400000,PH060409000,,Aklan,Finnish Red Cross,Libacao,Calamcan,53,53,52,0,52,0,,0,0,,,0
PH060400000,PH060409000,PH060409007,Aklan,Finnish Red Cross,Libacao,Can-Awan,16,16,15,0,15,0,0,0,0,0,0,0
PH060400000,PH060409000,PH060409008,Aklan,Finnish Red Cross,Libacao,Casit-an,15,15,15,,15,,,,,,,
PH060400000,PH060409000,PH060409010,Aklan,Air Asia,Libacao,Guadalupe,0,,,,,14,,0,0,,,0
PH060400000,PH060409000,,Aklan,Finnish Red Cross,Libacao,Guadalupe,112,112,111,0,111,0,0,0,0,0,0,0
PH060400000,PH060409000,PH060409011,Aklan,Air Asia,Libacao,Janlud,0,,,,,6,,0,0,,,0
PH060400000,PH060409000,,Aklan,Finnish Red Cross,Libacao,Janlud,38,38,38,,38,,,,,,,
PH060400000,PH060409000,PH060409012,Aklan,Air Asia,Libacao,Julita,0,,,,,2,,0,0,,,0
PH060400000,PH060409000,,Aklan,Finnish Red Cross,Libacao,Julita,79,79,79,,79,,,,,,,
PH060400000,PH060409000,PH060409013,Aklan,Finnish Red Cross,Libacao,Luctoga,117,116,114,0,114,0,0,0,0,0,0,0
PH060400000,PH060409000,PH060409014,Aklan,Finnish Red Cross,Libacao,Magugba,61,61,60,0,60,0,0,0,0,0,0,0
PH060400000,PH060409000,PH060409015,Aklan,Finnish Red Cross,Libacao,Manika,160,160,160,,160,,,,,,,
PH060400000,PH060409000,PH060409016,Aklan,Finnish Red Cross,Libacao,Ogsip,40,40,38,0,38,0,0,0,0,0,0,0
PH060400000,PH060409000,PH060409017,Aklan,Finnish Red Cross,Libacao,Ortega,39,39,38,0,38,0,0,0,0,0,0,0
PH060400000,PH060409000,PH060409018,Aklan,Finnish Red Cross,Libacao,Oyang,50,50,50,,50,,,,,,,
PH060400000,PH060409000,PH060409019,Aklan,Finnish Red Cross,Libacao,Pampango,95,95,94,0,94,0,0,0,0,0,0,0
PH060400000,PH060409000,PH060409020,Aklan,Finnish Red Cross,Libacao,Pinonoy,61,61,59,0,59,0,0,0,0,0,0,0
PH060400000,PH060409000,PH060409022,Aklan,Finnish Red Cross,Libacao,Rivera,15,15,15,,15,,,,,,,
PH060400000,PH060409000,PH060409023,Aklan,Finnish Red Cross,Libacao,Rosal,52,52,52,,52,,,,,,,
PH060400000,PH060409000,PH060409024,Aklan,Air Asia,Libacao,Sibalew,0,0,0,0,0,11,,0,0,0,,0
