Admin2,Admin3,Admin4,Province,Partner,Municipality,Barangay,Household Latrines Construction Started,Construction of Household Latrines Completed,Relocation Latrines Completed,# of RC 143 Volunteers Trained on HP (PHAST & Simplified HP),Households with access to safe water supply,# of households reached on PHAST,Schools Identified,Schools WatSan Facilities Construction Started,Schools WatSan Facilities Completed,# Individuals trained in CHAST,# of students reached on CHAST,Community - Based WatSan Facilities,Additional Comments
PH060400000,PH060401000,PH060401001,Aklan,IFRC,Altavas,Cabangila,0,0,0,44,,384,0,0,,,,0,
PH060400000,PH060401000,PH060401010,Aklan,IFRC,Altavas,Odiong,0,0,,34,,768,,,,,,0,
PH060400000,PH060402000,PH060402001,Aklan,Spanish Red Cross,Balete,Aranas,0,0,0,17,0,0,0,0,0,,,1,
PH060400000,PH060402000,PH060402002,Aklan,Spanish Red Cross,Balete,Arcangel,0,0,0,19,0,0,0,0,0,,,1,
PH060400000,PH060402000,PH060402004,Aklan,Spanish Red Cross,Balete,Calizo,0,0,,20,0,0,0,,0,,,0,
PH060400000,PH060402000,PH060402005,Aklan,Spanish Red Cross,Balete,Cortes,0,0,0,10,0,0,0,0,0,,,1,
PH060400000,PH060402000,PH060402006,Aklan,Spanish Red Cross,Balete,Feliciano,0,0,0,29,0,0,0,0,0,,,1,
PH060400000,PH060402000,PH060402007,Aklan,Spanish Red Cross,Balete,Fulgencio,0,0,,28,0,0,0,,,,,1,0
PH060400000,PH060402000,PH060402008,Aklan,Spanish Red Cross,Balete,Guanko,0,0,0,8,0,0,0,0,,,,1,
PH060400000,PH060402000,PH060402009,Aklan,Spanish Red Cross,Balete,Morales,0,0,,13,0,0,0,,,,,0,
PH060400000,PH060402000,PH060402010,Aklan,Spanish Red Cross,Balete,Oquendo,0,0,,7,0,0,0,,,,,0,
PH060400000,PH060403000,PH060403002,Aklan,IFRC,Banga,Bacan,4,4,0,0,,,,0,0,,,0,
